央视高清,#genre#
CCTV5+ 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=reallive-cctv5plus&livemode=1&stbId=toShengfen&mode=1
CCTV6 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000010000018433&livemode=1&stbId=toShengfen&mode=1
CCTV6 4M FHD HEVC,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000011000265006&livemode=1&stbId=toShengfen&mode=1
CCTV6 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=wasusyt&Contentid=6994512760913257617&livemode=1&stbId=toShengfen&mode=1
CCTV6 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=toShengfen&mode=1
CCTV6 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=6117099895556651277&livemode=1&stbId=toShengfen&mode=1
CCTV7 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000005000026715&livemode=1&stbId=toShengfen&mode=1
CCTV7 2M SD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=hnbblive&Contentid=7787764357983924496&livemode=1&stbId=toShengfen&mode=1
CCTV7 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=toShengfen&mode=1
CCTV7 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=7050628689018054317&livemode=1&stbId=toShengfen&mode=1
CCTV8 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000010000018377&livemode=1&stbId=toShengfen&mode=1
CCTV8 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=wasusyt&Contentid=8967744667154419073&livemode=1&stbId=toShengfen&mode=1
